Lake,Modern_MAR,BD,CoreID,Slice,Interval,Start,End
Center,0.13,1.049,1,0-2cm,2,2018,
Center,0.13,1.031,2,2-4cm,2,,
Center,0.13,1.066,3,4-6cm,2,,
Center,0.13,1.087,4,6-8cm,2,,
Center,0.13,1.093,5,8-10cm,2,,
Center,0.13,1.11,6,10-15cm,5,,
Center,0.13,1.118,7,15-20cm,5,,
Silver,0.106,1.098,1,0-2cm,2,2018,
Silver,0.106,1.123,2,2-4cm,2,,
Silver,0.106,1.146,3,4-6cm,2,,
Silver,0.106,1.145,4,6-8cm,2,,
Silver,0.106,1.154,5,8-10cm,2,,
Silver,0.106,1.168,6,10-15cm,5,,
Silver,0.106,1.185,7,15-20cm,5,,
Five Island,0.23,1.06,1,0-2cm,2,2018,
Five Island,0.23,1.08,2,2-4cm,2,,
Five Island,0.23,1.1,3,4-6cm,2,,
Five Island,0.23,1.1,4,6-8cm,2,,
Five Island,0.23,1.12,5,8-10cm,2,,
Five Island,0.23,1.13,6,10-15cm,5,,
Five Island,0.23,1.14,7,15-20cm,5,,
Storm,0.161,1.2,1,0-2cm,2,2018,
Storm,0.161,1.251,2,2-4cm,2,,
Storm,0.161,1.226,3,4-6cm,2,,
Storm,0.161,1.236,4,6-8cm,2,,
Storm,0.161,1.255,5,8-10cm,2,,
Storm,0.161,1.241,6,10-15cm,5,,
Storm,0.161,1.257,7,15-20cm,5,,
North Twin,0.116,1.027,1,0-2cm,2,2018,
North Twin,0.116,1.045,2,2-4cm,2,,
North Twin,0.116,1.038,3,4-6cm,2,,
North Twin,0.116,1.051,4,6-8cm,2,,
North Twin,0.116,1.06,5,8-10cm,2,,
North Twin,0.116,1.072,6,10-15cm,5,,
North Twin,0.116,1.082,7,15-20cm,5,,
South Twin,0.14515,1.054744877,1,0-2cm,2,2018,
South Twin,0.14515,1.085860058,2,2-4cm,2,,
South Twin,0.14515,1.089622554,3,4-6cm,2,,
South Twin,0.14515,1.088121799,4,6-8cm,2,,
South Twin,0.14515,1.093748222,5,8-10cm,2,,
South Twin,0.14515,1.12571823,6,10-15cm,5,,
South Twin,0.14515,1.144146973,7,15-20cm,5,,
Swan,0.14515,1.043375483,1,0-2cm,2,2018,
Swan,0.14515,1.076915192,2,2-4cm,2,,
Swan,0.14515,1.092555332,3,4-6cm,2,,
Swan,0.14515,1.115286481,4,6-8cm,2,,
Swan,0.14515,1.132722677,5,8-10cm,2,,
Swan,0.14515,1.127045236,6,10-15cm,5,,
Swan,0.14515,1.128673197,7,15-20cm,5,,
