lake,type,n,mean_TP_whole,mean_RMSE_TP,mean_loose_whole,mean_RMSE_loose
Swan,Full,10,1184.913,0,37.03029,0
Swan,Subsampe,9,1184.913,16.82403,37.03029,1.257157
Swan,Subsampe,8,1184.913,23.99224,37.03029,1.971898
Swan,Subsampe,7,1184.913,30.67822,37.03029,2.548658
Swan,Subsampe,6,1184.913,37.68256,37.03029,3.136385
Swan,Subsampe,5,1184.913,48.3491,37.03029,3.874915
Swan,Subsampe,4,1184.913,58.03443,37.03029,4.836208
Swan,Subsampe,3,1184.913,69.79198,37.03029,5.81396
Swan,Subsampe,2,1184.913,95.30409,37.03029,7.597213
Silver,Full,10,915.5767,0,167.2061,0
Silver,Subsampe,9,915.5767,4.902899,167.2061,2.693133
Silver,Subsampe,8,915.5767,7.57924,167.2061,3.786173
Silver,Subsampe,7,915.5767,10.05161,167.2061,5.12479
Silver,Subsampe,6,915.5767,12.56111,167.2061,6.423865
Silver,Subsampe,5,915.5767,15.29103,167.2061,7.940976
Silver,Subsampe,4,915.5767,19.11815,167.2061,9.815731
Silver,Subsampe,3,915.5767,24.20678,167.2061,12.0921
Silver,Subsampe,2,915.5767,29.86592,167.2061,14.97641
Five Island,Full,10,956.6903,0,108.3087,0
Five Island,Subsampe,9,956.6903,15.26894,108.3087,2.655224
Five Island,Subsampe,8,956.6903,24.3623,108.3087,4.646175
Five Island,Subsampe,7,956.6903,30.12999,108.3087,6.186059
Five Island,Subsampe,6,956.6903,37.42394,108.3087,7.188924
Five Island,Subsampe,5,956.6903,44.2951,108.3087,8.750363
Five Island,Subsampe,4,956.6903,56.43824,108.3087,11.31273
Five Island,Subsampe,3,956.6903,75.05766,108.3087,13.78794
Five Island,Subsampe,2,956.6903,100.3017,108.3087,18.47338
Storm,Full,10,663.1183,0,47.74041,0
Storm,Subsampe,9,663.1183,7.971795,47.74041,1.368871
Storm,Subsampe,8,663.1183,14.0771,47.74041,2.166026
Storm,Subsampe,7,663.1183,21.32796,47.74041,3.089414
Storm,Subsampe,6,663.1183,28.09185,47.74041,3.860348
Storm,Subsampe,5,663.1183,35.02123,47.74041,4.869902
Storm,Subsampe,4,663.1183,42.32794,47.74041,5.862478
Storm,Subsampe,3,663.1183,50.34859,47.74041,7.264212
Storm,Subsampe,2,663.1183,57.67216,47.74041,8.815031
Center,Full,10,896.9995,0,71.57667,0
Center,Subsampe,9,896.9995,8.286381,71.57667,1.010786
Center,Subsampe,8,896.9995,12.25313,71.57667,1.745436
Center,Subsampe,7,896.9995,14.76057,71.57667,2.209502
Center,Subsampe,6,896.9995,19.28238,71.57667,2.659451
Center,Subsampe,5,896.9995,23.55577,71.57667,3.178787
Center,Subsampe,4,896.9995,27.81551,71.57667,4.045787
Center,Subsampe,3,896.9995,37.26311,71.57667,5.205864
Center,Subsampe,2,896.9995,49.05284,71.57667,7.089099
North Twin,Full,10,1070.393,0,89.39498,0
North Twin,Subsampe,9,1070.393,7.499765,89.39498,1.803769
North Twin,Subsampe,8,1070.393,10.34436,89.39498,2.762093
North Twin,Subsampe,7,1070.393,12.89626,89.39498,3.921832
North Twin,Subsampe,6,1070.393,16.86192,89.39498,5.008101
North Twin,Subsampe,5,1070.393,19.43483,89.39498,5.980261
North Twin,Subsampe,4,1070.393,23.98556,89.39498,7.489567
North Twin,Subsampe,3,1070.393,30.50094,89.39498,8.704689
North Twin,Subsampe,2,1070.393,39.4798,89.39498,10.9161
South Twin,Full,10,935.9872,0,110.2209,0
South Twin,Subsampe,9,935.9872,16.99763,110.2209,0.7772152
South Twin,Subsampe,8,935.9872,30.08237,110.2209,1.481653
South Twin,Subsampe,7,935.9872,38.28727,110.2209,2.08911
South Twin,Subsampe,6,935.9872,44.08589,110.2209,2.69156
South Twin,Subsampe,5,935.9872,49.24932,110.2209,3.31583
South Twin,Subsampe,4,935.9872,67.78286,110.2209,3.948899
South Twin,Subsampe,3,935.9872,91.02423,110.2209,4.664307
South Twin,Subsampe,2,935.9872,115.7513,110.2209,5.985603
